match_id,tournament_year,match_date,match,home_team,away_team,predicted_result,predicted_result_team,actual_result,actual_result_team,home_probability,draw_probability,away_probability,confidence_score,upset_probability,market_favorite,market_favorite_team,model_favorite,model_favorite_team,is_conflict_match,error_types,A_hot_favorite_upset,B_draw_misread,C_market_model_aligned_failure,D_market_model_conflict_failure,E_high_confidence_failure,F_low_confidence_failure,research_priority
263,2018,2018-06-15T18:00:00,Morocco vs Iran,Morocco,Iran,Draw,Draw,Away Win,Iran,40.06,31.23,28.71,31.23,59.94,Home Win,Morocco,Home Win,Morocco,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2871
264,2018,2018-06-15T21:00:00,Portugal vs Spain,Portugal,Spain,Away Win,Spain,Draw,Draw,34.07,28.98,36.94,36.94,63.06,Away Win,Spain,Away Win,Spain,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,2932
275,2018,2018-06-16T16:00:00,Argentina vs Iceland,Argentina,Iceland,Home Win,Argentina,Draw,Draw,47.9,24.26,27.84,47.9,52.1,Home Win,Argentina,Home Win,Argentina,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3031
281,2018,2018-06-17T16:00:00,Costa Rica vs Serbia,Costa Rica,Serbia,Draw,Draw,Away Win,Serbia,35.75,30.23,34.01,30.23,65.99,Away Win,Serbia,Home Win,Costa Rica,True,平局判断失败; 模型与市场冲突且失败; 低信心失败,False,True,False,True,False,True,5367
287,2018,2018-06-17T18:00:00,Germany vs Mexico,Germany,Mexico,Home Win,Germany,Away Win,Mexico,55.34,21.87,22.78,55.34,44.66,Home Win,Germany,Home Win,Germany,False,热门球队爆冷; 模型与市场一致但仍失败,True,False,True,False,False,False,3097
282,2018,2018-06-17T21:00:00,Brazil vs Switzerland,Brazil,Switzerland,Home Win,Brazil,Draw,Draw,49.85,24.94,25.21,49.85,50.15,Home Win,Brazil,Home Win,Brazil,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3048
299,2018,2018-06-19T15:00:00,Colombia vs Japan,Colombia,Japan,Home Win,Colombia,Away Win,Japan,45.07,26.52,28.41,45.07,54.93,Home Win,Colombia,Home Win,Colombia,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,3004
271,2018,2018-06-21T16:00:00,Denmark vs Australia,Denmark,Australia,Home Win,Denmark,Draw,Draw,46.81,25.8,27.4,46.81,53.19,Home Win,Denmark,Home Win,Denmark,False,热门球队爆冷; 平局判断失败; 模型与市场一致但仍失败; 低信心失败,True,True,True,False,False,True,3021
277,2018,2018-06-21T21:00:00,Argentina vs Croatia,Argentina,Croatia,Home Win,Argentina,Away Win,Croatia,44.26,25.25,30.49,44.26,55.74,Home Win,Argentina,Home Win,Argentina,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,2997
278,2018,2018-06-22T18:00:00,Nigeria vs Iceland,Nigeria,Iceland,Away Win,Iceland,Home Win,Nigeria,30.62,28.64,40.74,40.74,59.26,Away Win,Iceland,Away Win,Iceland,False,热门球队爆冷; 模型与市场一致但仍失败; 低信心失败,True,False,True,False,False,True,2966
